coin_id;class;type
132;Nick;Nick BS C 4
132;Kellner;Kellner BS C
132;Ziegaus;Ziegaus BS C 24
132;OCC;BS 4
133;OCC;BS 7
134;Kellner;Kellner BS C
134;OCC;BS 4
135;Nick;Nick BS F 2a
135;OCC;BS 7
136;Nick;Nick BS C 4
136;Ziegaus;Ziegaus BS C 24
136;Kellner;Kellner BS C
136;OCC;BS 4
137;Nick;Nick BS C 4
137;Ziegaus;Ziegaus BS C 24
137;Kellner;Kellner BS C
137;OCC;BS 4
138;Nick;Nick BS F 1a
138;OCC;BS 7
139;Nick;Nick BS C 1
139;Kellner;Kellner BS C
139;Ziegaus;Ziegaus BS C 20
139;OCC;BS 4
140;Nick;Nick BS D 2
140;OCC;BS 5
141;Nick;Nick BS F 2b
141;OCC;BS 7
142;Nick;Nick BS D 6
142;OCC;BS 5
143;Nick;Nick BS D 6
143;OCC;BS 5
144;Nick;Nick BS F 1a
144;OCC;BS 7
145;Nick;Nick BS F 2b
145;OCC;BS 7
146;Nick;Nick BS F 1b
146;OCC;BS 7
147;Allen;Uncertain type
148;Allen;Uncertain type
149;Nick;Nick BS C 4
149;Kellner;Kellner BS C
149;Ziegaus;Ziegaus BS C 24
149;OCC;BS 4
150;OCC;BS 4
150;Kellner;Kellner BS C
150;OCC;BS 7
151;Ziegaus;Ziegaus BS E 27
151;Kellner;Kellner BS E
151;OCC;BS 6
152;Allen;Uncertain type
153;Allen;Uncertain type
154;Kellner;Kellner BS C
154;Ziegaus;Ziegaus BS C 26
154;OCC;BS 4
154;Nick;Nick BS C 4
155;Ziegaus;Ziegaus BS C 24
155;Kellner;Kellner BS C
155;OCC;BS 4
156;Kellner;Kellner BS C
156;OCC;BS 4
157;OCC;BS 5
158;OCC;BS 4
159;Nick;Nick BS C 1
159;Kellner;Kellner BS C
159;Ziegaus;Ziegaus BS C 19
159;OCC;BS 4
159;Ziegaus;Ziegaus BS C 20
160;Nick;Nick BS H 3
160;OCC;BS 9
161;Nick;Nick BS H 3
161;OCC;BS 9
162;Nick;Nick BS C 11
162;Ziegaus;Ziegaus BS C 21
162;Kellner;Kellner BS C
162;OCC;BS 4
163;OCC;BS 5
163;Nick;Nick BS D 7
164;Kellner;Kellner BS C
164;OCC;BS 4
165;Nick;Nick BS F 1a
165;OCC;BS 7
166;Nick;Nick BS F 2b
166;OCC;BS 7
167;Nick;Nick BS C 8
167;Ziegaus;Ziegaus BS C 22
167;Kellner;Kellner BS C
167;OCC;BS 4
168;Nick;Nick BS H 1
168;OCC;BS 9
169;Nick;Nick BS H 1
169;OCC;BS 9
170;Nick;Nick BS H 3
170;OCC;BS 9
171;Nick;Nick BS F 1b
171;OCC;BS 7
172;Nick;Nick BS F 2b
172;OCC;BS 7
173;Allen;Uncertain type
174;Kellner;Kellner BS C
174;OCC;BS 4
175;Nick;Nick BS H 3
175;OCC;BS 9
176;Nick;Nick BS H 3
176;OCC;BS 9
177;Nick;Nick BS H 3
177;OCC;BS 9
178;Nick;Nick BS H 3
178;OCC;BS 9
179;Kellner;Kellner BS C
179;Ziegaus;Ziegaus BS C 21
179;OCC;BS 4
179;Ziegaus;Ziegaus BS C 24
180;Nick;Nick BS F 2a
180;OCC;BS 7
181;Nick;Nick BS F 2a
181;OCC;BS 7
182;OCC;BS 8
183;Nick;Nick BS F 1a
183;OCC;BS 7
184;Nick;Nick BS H 1
184;OCC;BS 9
185;Kellner;Kellner BS C
