coin_id;collection;inventory_id;hoard;weight;diameter
132;Kantonsarchäologie Aargau, Brugg;Zur.007.2 / 175.1;;1.38;11.9
133;Kantonsarchäologie Aargau, Brugg;B .009.1/507.1;;1.63;12.6
134;Kantonsarchäologie Aargau, Brugg;Bru.007.3/2668.1;;1.98;12.9
135;Kantonsarchäologie Aargau, Brugg;BUR 4;;1.67;14.2
136;Kantonsarchäologie Aargau, Brugg;BUR 5;;1.42;16.9
137;Kantonsarchäologie Aargau, Brugg;V.011.1/1463.1;;1.18;14.2
138;Kantonsarchäologie Aargau, Brugg;V.009.18/1179.1;;1.36;13.4
139;Kantonsarchäologie Aargau, Brugg;3759;;1.19;13.5
140;Kantonsarchäologie Aargau, Brugg;-;;1.39;13.6
141;Kantonsarchäologie Aargau, Brugg;5178;;1.12;13.3
142;Kantonsarchäologie Aargau, Brugg;V.002.11/2060.2;;0.95;13.8
143;Kantonsarchäologie Aargau, Brugg;V.003.1/4276.1;;1.08;12.3
144;Kantonsarchäologie Aargau, Brugg;V.003.1/5788.1;;1.35;12.7
145;Kantonsarchäologie Aargau, Brugg;V.003.1/6860.1;;1.02;13.7
146;Kantonsarchäologie Aargau, Brugg;V.003.1/6978.1;;1.41;14.6
147;Kantonsarchäologie Aargau, Brugg;V.003.1/7181.1;;0.66;13.7
148;Kantonsarchäologie Aargau, Brugg;V.003.1/7562.1;;1.15;14
149;Kantonsarchäologie Aargau, Brugg;V.003.1/7716.1;;1.67;12.8
150;Kantonsarchäologie Aargau, Brugg;V.003.1/7888.1;;1.14;12.7
151;Schweizerisches Nationalmuseum Zürich;AG K 104;;1.72;11.4
152;Archäologische Bodenforschung des Kantons Basel-Stadt;2008/3.106;;1.79;14.3
153;Archäologische Bodenforschung des Kantons Basel-Stadt;2010/5.28;;0.62;13
154;Archäologische Bodenforschung des Kantons Basel-Stadt;2007/30.7;;1.56;13.7
155;Bernisches Historisches Museum;G 100;;1.36;12.7
156;Bernisches Historisches Museum;038.0061;;0.78;12.9
157;Bernisches Historisches Museum;G 3169;;1.51;13.5
158;Bernisches Historisches Museum;30431;;1.1;13.8
159;Bernisches Historisches Museum;G 113;;1.47;15.5
160;Archäologischer Dienst des Kantons Bern;038.0082;;0.71;14.2
161;Schweizerisches Nationalmuseum Zürich;M 12991;;1.59;11.8
162;Kantonsarchäologie Solothurn, Solothurn;FNr. 75;;1.82;12.6
163;Kantonsarchäologie Solothurn, Solothurn;FNr. 76;;1.99;12.6
164;Kantonsarchäologie Solothurn, Solothurn;FNr. 78;;1.57;12.6
165;Service archéologique de l'État de Fribourg;9235;;0.74;13.8
166;Musée d'art et d'histoire, Genf;CdN 2003-466-dt;;1.21;11.8
167;Musée d'art et d'histoire, Genf;CdN 1997-584;;1.73;12.5
168;Musée d'art et d'histoire, Genf;CdN 1997-586;;1.26;12.3
169;Schweizerisches Nationalmuseum Zürich;AG K 103;;1.56;10.3
170;Historisches Museum Basel;1918.5315;;1.65;14.2
171;Historisches Museum Basel;1918.5319;;1.69;13.1
172;Historisches Museum Basel;1918.5320;;1.65;14.9
173;Kantonsarchäologie Luzern;FNr. 35;;1.15;12.8
174;Kantonsarchäologie St. Gallen, St. Gallen;FmSG, LNr. 573;;1.66;11.4
175;Schweizerisches Nationalmuseum Zürich;AG K 95;;1.48;15
176;Schweizerisches Nationalmuseum Zürich;AG K 96;;1.59;12
177;Schweizerisches Nationalmuseum Zürich;AG K 97;;1.55;11.4
178;Schweizerisches Nationalmuseum Zürich;AG K 98;;1.5;13
179;Schweizerisches Nationalmuseum Zürich;AG K 100;;1.64;12.3
180;Schweizerisches Nationalmuseum Zürich;AG K 101;;1.54;12.9
