placename;latitude;longitude
Aholming;48.7389678888285;12.9121501476219
Altenburg-Rheinau;47.6576827446955;8.60391437083081
Alttiefenweg;48.7258829877222;12.863740341776
Avenches (District de la Broye-Vully);46.8845283852377;7.04299531621561
Baar;47.1987082640678;8.52659662773129
Bad Zurzach;47.5891698459858;8.29329654032288
Baden (District Baden), Aargau;47.4756170519287;8.30849233440151
Balm bei Lottstetten;47.6332968297545;8.59398554063284
Balsthal (District Thal);47.310955374065;7.68825398771723
Basel (Münsterhügel);47.5565239457971;7.59138981130555
Berching-Pollanten;49.1440246785679;11.4581628628
Berglern Glaslern;48.3769364521477;11.9322767029371
Bern (Engehalbinsel);46.9762384286716;7.46612071971306
Biberist (District Wasseramt);47.1835910155289;7.55757798991046
Biel (District Biel);47.1382290913735;7.24713721612519
Brig-Glis (District Brig);46.2887998;7.9294751
Bruck an der Großglocknerstraße;47.2900976174349;12.8248587164682
Brugg (District Brugg);47.4897283635317;8.21025155660437
Cífer-Pác;48.3057705439532;17.5208609788224
Courroux (District de Delémont);47.3652405150372;7.37364966301628
Diessenhofen (District Diessenhofen);47.3768070568591;8.02418077737102
Dorfen Niederham;48.2738544330777;12.1344559272217
Egglfing;48.3302472869712;13.3194779666137
Eppenberg-Wöschnau (District Olten);47.3768070568591;8.02418077737102
Erding-Pretzen;48.2787125588724;11.9112505796345
Felber Tauern;47.1506702604604;12.4997853891389
Fischböckau;47.9973430844779;13.9405970510546
Geneva;46.2060162253292;6.14329630391608
Georgenberg;49.7053168733147;12.4201708323134
Gilsenöd;48.7519248840266;12.9862938285464
Haunersdorf;48.6066112724654;12.7195622857234
Hundisburg;52.2490325265707;11.3982745145228
Karlstein (Bad Reichenhall);47.7269556651194;12.8596601873769
Kirchberg (District Alttogenburg);47.0900269002921;7.58401393442215
Kleßheim;47.818660930049;12.9966268016451
Kremsmünster;48.0580434833439;14.1263629824757
Kürnbergerwald;48.3006556035279;14.1998283052235
Kyburg (District Pfäffikon);47.4583700812511;8.74401268520156
Lambach;48.0923832;13.8411254
Langenisarhofen;48.737278616259;12.9627125246486
Langenpreising Thenner See;48.4028217;11.9554582
Langenpreising Zustorf;48.4145024239583;11.9407672563354
Liefering;47.8272443044477;13.0009429311684
Linz Freinberg;48.2969665559307;14.2694439665919
Linz-Neubau;48.2169246568088;14.2046164892817
Loham;48.8423977009022;12.7997503536863
Mainburg;48.6459319819806;11.7822781535177
Manching;48.719927160125;11.4935740304005
Martigny (District Martigny);46.1070239;7.051652
Merklingen;48.5125963789473;9.75501057417956
Mont Beuvray;46.9267760089076;4.03662921968147
Moos;48.7543505095839;12.9623401899106
Natternberg;48.824530747641;12.9081839593773
Neuses an der Regnitz;49.7727560396767;11.0322539074102
Niederbipp (District Wangen);47.2733036478259;7.69037683683054
Oberpöring;48.7034926865992;12.8247797907333
Ostenhofen (Kasten);48.7065028222932;13.0225115846184
Otzing (Hofäcker);48.7656219570022;12.8085940282811
Pankofen;48.8005224593664;12.8964972113333
Pfaffenhofen-Trappeleacker;47.3000625375751;11.0825103751996
Plattling;48.7835583284063;12.8691920502119
Reiden (District Willisau);47.2292786;7.9225679
Rheinau (District Andelfingen);47.6446712167643;8.60138732046379
Roggwil, Fryburg;47.2427353120234;7.82298979336097
Ruckasing;48.7147411984115;13.0403230669731
Salgesch (District Leuk);46.3087771;7.5309957
Salzburg Stadt, Festungsberg;47.7961062154397;13.0483428816099
Salzburg Stadt, Hellbrunn;47.7529307171381;13.0682388554168
Salzburg Stadt, Residenzplatz;47.7985030023434;13.0458260959726
Salzburg, Rainberg;47.7948758473858;13.035745001794
Sättelstädt;50.9442377176432;10.4802640067897
Stradonice Oppidum;49.993482206937;14.0033567537337
Tabertshausen;48.7353305340191;12.8793170916242
Teisendorf;47.8531668528991;12.8190910190611
Telfs Schlossbichl;46.8876098715823;10.5065129879925
Thundorf;50.2022547974559;10.3198390416702
Thundorf (Kugelstatt);50.2022547974559;10.3198390416702
Titelberg;49.5408007432249;5.85787110590746
Třísov;48.8835385430293;14.3466563130036
Vallon (District de la Broye);46.886944604091;6.95369804083142
Wartenberg Amerhof;50.62876;9.4411451
Wartenberg Sellmayerhof;48.405777728901;11.9874516969274
Windisch (District Brugg);47.480688200611;8.21582551946477
