coin_id;die_obv;die_rev;remark
3627;Av_01;Rv_01;Rv. eventuell umgeschnitten
3628;Av_01;Rv_01;Rv. Eine Überprägung. Reste der ursprünglichen Prägung zu erkennen.
3629;Av_01;Rv_01;
3630;Av_01;Rv_01;Rv. Stempel leicht nachgebessert.
3631;Av_01;Rv_01;
3618;Av_01;Rv_01;Beiderseits gleicher Stempel, aber umgeschnitten/nachgebessert.
3613;Av_01;Rv_01;
3632;Av_01;Rv_01;
3595;Av_01;Rv_01;
3594;Av_01;Rv_01;
3633;Av_01;Rv_01;
3634;Av_01;Rv_01;
3635;Av_01;Rv_01;Av. Stempel bereits stark abgenutzt.
3636;Av_01;Rv_01;Av. Stempel völlig zerstört.
3637;Av_01;Rv_01;Av. Gleicher Stempel zu 3636, aber umgearbeitet und wieder nutzbar gemacht.
3638;Av_01;Rv_01;
3639;Av_01;Rv_01;
3640;Av_01;Rv_01;
3641;Av_02;Rv_01;Av. Anderer Stempel aus Gruppe 2.8.
3642;Av_02;Rv_01;Rv. Wohl Umschnitt aus dem Vorherigen.
3643;Av_02;Rv_01;
3644;Av_02;Rv_01;
3645;Av_02;Rv_01;
3646;Av_02;Rv_01;
3647;Av_01;Rv_01;Av. Rückgriff auf den alten Stempel von 3640. Rv. vom Verschleiß, wie in 3546, was die Abfolge sichert.
3648;Av_01;Rv_01;
3649;Av_01;Rv_01;
3650;Av_01;Rv_01;
3651;Av_01;Rv_01;
3585;Av_03;Rv_02;
3654;Av_03;Rv_02;
3657;;Rv_02;Av. anders.
3658;Av_03;Rv_02;Rv. Schlange unter dem Pferd nachgearbeitet. Jetzt doppelschwänzig.
3659;Av_03;Rv_02;
3699;Av_03;Rv_02;
3660;Av_03;Rv_02;Av. stempelgleich mit 3699, aber umgeschnitten.
3661;Av_03;Rv_02;Av. nochmals nachbearbeitet.
3662;Av_03;Rv_02;
3663;Av_03;Rv_02;
3605;Av_03;Rv_02;
3664;;Rv_03;Av. nicht identisch mit den folgenden Av.
3665;Av_04;;Rv. nicht identisch mit vorheriger und folgender Rv.
3666;Av_04;Rv_03;
3667;Av_04;Rv_03;Doppelschlag beim Prägevorgang.
3668;Av_04;Rv_03;
3669;Av_04;Rv_03;Av. Umschnitt.
3698;Av_05;Rv_04;Av. wahrscheinlich stempelgleich zum Nachfolgenden, Rv. Sicher stempelgleich.
3670;Av_05;Rv_04;
3671;Av_05;Rv_04;
3672;;Rv_04;Av. anderer unbekannter Stempel.
3673;Av_05;Rv_04;
3674;;Rv_04;Av. anders. 
3675;Av_06;Rv_05;Av. wahrscheinlich stempelgleich zum Nachfolgenden, Rv. Sicher stempelgleich.
3676;Av_06;Rv_05;Av. wohl umgeschnitten.
3677;Av_06;Rv_05;
3678;Av_06;Rv_05;
3679;Av_06;Rv_05;Av. Umschnitt.
3680;Av_06;Rv_05;
3589;Av_06;Rv_05;
3681;Av_07;Rv_06;Av. wahrscheinlich stempelgleich zum Nachfolgenden, Rv. Sicher stempelgleich.
3682;Av_07;Rv_06;
3683;Av_07;Rv_06;
3684;Av_07;Rv_06;
3685;Av_07;Rv_06;
3590;Av_07;Rv_06;
3686;Av_07;Rv_06;
3687;Av_07;Rv_06;
3688;Av_07;Rv_06;
3689;Av_08;Rv_07;Rv. Doppelschlag beim Prägevorgang. Av. Stempelgleich mit Gruppe 3.4.
3690;Av_08;Rv_07;
3691;Av_08;Rv_07;
3692;Av_08;Rv_07;
3693;Av_09;Rv_07;Av. Ab hier durchgehend etwas anders.
3694;Av_09;Rv_07;
3695;Av_09;Rv_07;
3696;Av_09;Rv_07;
3697;Av_09;Rv_07;
3708;Av_10;Rv_08;Av. Stempelgleich mit Gruppe 3.5.
3709;Av_10;Rv_08;
3710;Av_11;Rv_08;
3711;Av_11;Rv_08;
3712;Av_11;Rv_08;
3713;Av_11;Rv_08;
3714;Av_11;Rv_08;
3715;Av_11;Rv_08;
3716;Av_11;Rv_08;
3717;Av_11;Rv_08;
3583;Av_11;Rv_08;
3612;Av_11;Rv_08;
3718;Av_11;Rv_08;
3719;Av_11;Rv_08;
3724;Av_02;Rv_09;
3725;Av_02;Rv_09;
3726;Av_02;Rv_09;
3727;Av_02;Rv_09;
3728;Av_02;Rv_09;
3729;Av_02;Rv_09;Av. umgeschnitten.
3730;Av_02;Rv_09;
3731;Av_12;Rv_10;
3732;Av_12;Rv_10;
3604;Av_12;Rv_10;
3733;;Rv_10;
3623;Av_13;;Die ersten drei Rv. Diese Gruppe wahrscheinlich gleicher unbekannter Stempel.
3743;Av_13;;
3744;Av_13;;
3745;Av_13;Rv_11;
3746;Av_13;Rv_11;
3748;Av_13;Rv_11;
3749;Av_13;Rv_11;
3750;Av_13;Rv_11;
3755;Av_14;;
3756;Av_14;Rv_12;Rv. Vielleicht Umschnitt von 3755.
3757;Av_14;Rv_12;Av. umgeschnitten.
3758;Av_14;Rv_12;Rv. Doppelschlag beim Prägevorgang.
3621;Av_14;Rv_12;
3759;Av_14;Rv_12;
3760;Av_14;Rv_12;
3761;Av_14;Rv_12;Av. Wohl umgeschnitten.
3762;Av_14;Rv_12;
3763;Av_14;Rv_12;
3764;Av_14;Rv_12;
3765;Av_15;Rv_13;
3766;Av_15;Rv_13;
3767;;Rv_13;Für die restlichen Av. dieser Gruppe werden verschiedene ältere/schlechte Stempel durchprobiert.
3768;;Rv_13;
3769;;Rv_13;
3770;;Rv_13;
3771;Av_08;Rv_14;
3772;Av_08;Rv_14;
3773;Av_08;Rv_14;
3774;Av_08;Rv_14;
3609;Av_08;Rv_14;
3775;Av_10;Rv_15;
3776;Av_10;Rv_15;
3777;Av_10;Rv_15;
3778;Av_10;Rv_15;
3779;Av_10;Rv_15;
3780;Av_10;;
3784;;Rv_16;
3785;;Rv_16;
3786;Av_16;Rv_16;
3787;Av_16;Rv_16;
3788;Av_17;;
3789;Av_17;;Av. Stempel umgeschnitten.
3790;Av_17;Rv_17;
3791;Av_17;Rv_17;
3792;Av_17;Rv_17;
3793;Av_17;Rv_17;
3794;Av_17;Rv_17;
3795;Av_18;;
3796;Av_18;;
3797;Av_18;Rv_18;
3614;Av_18;Rv_18;
3798;Av_18;Rv_18;
3799;Av_18;Rv_18;
3800;Av_18;Rv_18;
3801;Av_18;Rv_18;
3802;Av_18;Rv_18;
3803;Av_18;Rv_18;
3804;Av_18;;
3805;Av_18;Rv_19;
3806;Av_18;Rv_19;
3807;Av_18;Rv_19;
3808;Av_18;Rv_19;
3809;Av_19;Rv_19;
3810;Av_19;Rv_19;
3811;Av_19;Rv_19;
3812;Av_19;Rv_19;
3813;Av_13;Rv_11;
3814;Av_13;Rv_11;
3815;Av_13;Rv_11;
3816;Av_13;Rv_11;
3817;Av_13;Rv_11;
3818;Av_13;Rv_11;
3835;Av_20;Rv_20;
3836;Av_20;Rv_20;
3603;Av_20;Rv_20;
3837;Av_20;Rv_20;Av. leicht überarbeitet.
3838;Av_20;Rv_20;
3839;Av_20;Rv_20;
3840;Av_20;Rv_20;Av. leicht überarbeitet.
3841;Av_20;;
3842;Av_20;;
3853;Av_21;Rv_21;
3854;Av_21;Rv_21;
3855;Av_21;Rv_21;
3856;Av_21;Rv_21;
3857;Av_21;Rv_21;
3858;Av_21;Rv_21;Av. Umschnitt.
3859;Av_21;Rv_21;
3860;;Rv_21;
3861;;Rv_21;
3880;Av_22;Rv_22;
3881;Av_22;Rv_22;
3882;Av_22;Rv_22;
3883;Av_22;Rv_22;
3884;Av_22;Rv_22;
3885;Av_22;Rv_22;
3886;Av_22;Rv_22;
3887;Av_22;Rv_22;
3888;;Rv_22;
3889;;Rv_22;
3894;Av_23;Rv_23;
3586;Av_23;Rv_23;
3895;Av_23;Rv_23;
3896;Av_23;Rv_23;
3897;Av_24;Rv_24;
3898;Av_24;Rv_24;
3899;Av_24;Rv_24;
3900;Av_24;Rv_24;
3901;Av_24;Rv_24;Av. Umschnitt.
3902;Av_24;Rv_24;
3903;Av_24;Rv_24;
3904;Av_24;Rv_24;
3581;;Rv_25;
3619;Av_25;Rv_25;
3905;Av_25;Rv_25;
3926;Av_25;Rv_25;
3906;Av_25;Rv_25;
3907;Av_25;Rv_25;
3908;Av_25;Rv_25;
3909;Av_25;Rv_25;
3910;Av_25;Rv_25;
3911;Av_25;Rv_25;
