coin_id;placename
132;Bad Zurzach
133;Baden (District Baden), Aargau
134;Brugg (District Brugg)
135;Windisch (District Brugg)
136;Windisch (District Brugg)
137;Windisch (District Brugg)
138;Windisch (District Brugg)
139;Windisch (District Brugg)
140;Windisch (District Brugg)
141;Windisch (District Brugg)
142;Windisch (District Brugg)
143;Windisch (District Brugg)
144;Windisch (District Brugg)
145;Windisch (District Brugg)
146;Windisch (District Brugg)
147;Windisch (District Brugg)
148;Windisch (District Brugg)
149;Windisch (District Brugg)
150;Windisch (District Brugg)
151;Windisch (District Brugg)
152;Basel (Münsterhügel)
153;Basel (Münsterhügel)
154;Basel (Münsterhügel)
155;Bern (Engehalbinsel)
156;Bern (Engehalbinsel)
157;Bern (Engehalbinsel)
158;Bern (Engehalbinsel)
159;Bern (Engehalbinsel)
160;Bern (Engehalbinsel)
161;Biel (District Biel)
162;Niederbipp (District Wangen)
163;Niederbipp (District Wangen)
164;Niederbipp (District Wangen)
165;Vallon (District de la Broye)
166;Geneva
167;Geneva
168;Geneva
169;Courroux (District de Delémont)
170;Courroux (District de Delémont)
171;Courroux (District de Delémont)
172;Courroux (District de Delémont)
173;Reiden (District Willisau)
174;Kirchberg (District Alttogenburg)
175;Balsthal (District Thal)
176;Balsthal (District Thal)
177;Balsthal (District Thal)
178;Balsthal (District Thal)
179;Balsthal (District Thal)
180;Balsthal (District Thal)
181;Balsthal (District Thal)
182;Balsthal (District Thal)
183;Biberist (District Wasseramt)
184;Biberist (District Wasseramt)
185;Eppenberg-Wöschnau (District Olten)
186;Diessenhofen (District Diessenhofen)
187;Avenches (District de la Broye-Vully)
188;Avenches (District de la Broye-Vully)
189;Avenches (District de la Broye-Vully)
190;Avenches (District de la Broye-Vully)
191;Avenches (District de la Broye-Vully)
192;Avenches (District de la Broye-Vully)
193;Avenches (District de la Broye-Vully)
194;Avenches (District de la Broye-Vully)
195;Avenches (District de la Broye-Vully)
196;Avenches (District de la Broye-Vully)
197;Avenches (District de la Broye-Vully)
198;Avenches (District de la Broye-Vully)
199;Brig-Glis (District Brig)
200;Martigny (District Martigny)
201;Salgesch (District Leuk)
202;Baar
203;Baar
204;Baar
205;Baar
206;Baar
207;Kyburg (District Pfäffikon)
208;Rheinau (District Andelfingen)
209;Rheinau (District Andelfingen)
210;Rheinau (District Andelfingen)
211;Rheinau (District Andelfingen)
212;Rheinau (District Andelfingen)
213;Rheinau (District Andelfingen)
214;Rheinau (District Andelfingen)
215;Rheinau (District Andelfingen)
216;Rheinau (District Andelfingen)
217;Rheinau (District Andelfingen)
218;Rheinau (District Andelfingen)
219;Rheinau (District Andelfingen)
220;Rheinau (District Andelfingen)
221;Rheinau (District Andelfingen)
222;Rheinau (District Andelfingen)
223;Rheinau (District Andelfingen)
224;Rheinau (District Andelfingen)
225;Rheinau (District Andelfingen)
226;Rheinau (District Andelfingen)
227;Rheinau (District Andelfingen)
228;Rheinau (District Andelfingen)
229;Rheinau (District Andelfingen)
230;Rheinau (District Andelfingen)
231;Rheinau (District Andelfingen)
232;Rheinau (District Andelfingen)
233;Rheinau (District Andelfingen)
234;Rheinau (District Andelfingen)
235;Rheinau (District Andelfingen)
236;Rheinau (District Andelfingen)
237;Rheinau (District Andelfingen)
238;Rheinau (District Andelfingen)
239;Rheinau (District Andelfingen)
240;Rheinau (District Andelfingen)
241;Rheinau (District Andelfingen)
242;Rheinau (District Andelfingen)
243;Rheinau (District Andelfingen)
244;Rheinau (District Andelfingen)
245;Rheinau (District Andelfingen)
246;Rheinau (District Andelfingen)
247;Rheinau (District Andelfingen)
248;Rheinau (District Andelfingen)
249;Rheinau (District Andelfingen)
250;Rheinau (District Andelfingen)
251;Rheinau (District Andelfingen)
252;Rheinau (District Andelfingen)
253;Rheinau (District Andelfingen)
254;Rheinau (District Andelfingen)
255;Rheinau (District Andelfingen)
256;Rheinau (District Andelfingen)
2333;Stradonice Oppidum
2334;Stradonice Oppidum
2335;Stradonice Oppidum
2336;Stradonice Oppidum
2337;Stradonice Oppidum
2338;Stradonice Oppidum
2339;Stradonice Oppidum
2340;Stradonice Oppidum
2341;Stradonice Oppidum
2342;Stradonice Oppidum
2343;Stradonice Oppidum
2344;Stradonice Oppidum
2345;Stradonice Oppidum
2346;Stradonice Oppidum
2347;Stradonice Oppidum
2348;Stradonice Oppidum
2349;Stradonice Oppidum
2350;Stradonice Oppidum
2351;Stradonice Oppidum
2352;Stradonice Oppidum
2354;Stradonice Oppidum
2355;Stradonice Oppidum
2360;Stradonice Oppidum
2363;Stradonice Oppidum
2365;Stradonice Oppidum
2366;Stradonice Oppidum
2367;Stradonice Oppidum
2368;Stradonice Oppidum
2369;Stradonice Oppidum
2370;Stradonice Oppidum
2371;Stradonice Oppidum
2372;Stradonice Oppidum
2373;Stradonice Oppidum
2374;Stradonice Oppidum
2376;Stradonice Oppidum
2377;Stradonice Oppidum
2381;Stradonice Oppidum
2382;Stradonice Oppidum
2383;Stradonice Oppidum
2384;Stradonice Oppidum
2385;Stradonice Oppidum
2386;Stradonice Oppidum
2388;Stradonice Oppidum
2389;Stradonice Oppidum
2390;Stradonice Oppidum
2391;Stradonice Oppidum
2392;Stradonice Oppidum
2393;Stradonice Oppidum
2395;Stradonice Oppidum
2396;Egglfing
2397;Egglfing
2398;Egglfing
2399;Egglfing
2400;Egglfing
2401;Egglfing
2402;Egglfing
2403;Egglfing
2404;Egglfing
2405;Egglfing
2406;Egglfing
2407;Egglfing
2408;Egglfing
2409;Egglfing
2410;Egglfing
2411;Egglfing
2412;Egglfing
2413;Egglfing
2414;Egglfing
2415;Egglfing
2416;Egglfing
2417;Egglfing
2418;Egglfing
2419;Egglfing
2420;Egglfing
2421;Egglfing
2422;Egglfing
2423;Egglfing
2424;Egglfing
2425;Egglfing
2426;Egglfing
2427;Egglfing
2428;Egglfing
2429;Egglfing
2430;Egglfing
2431;Egglfing
2432;Egglfing
2433;Egglfing
2434;Egglfing
2435;Egglfing
2436;Egglfing
2437;Egglfing
2438;Egglfing
2439;Egglfing
2440;Egglfing
2441;Egglfing
2442;Egglfing
2443;Egglfing
2444;Egglfing
2445;Egglfing
2446;Egglfing
2447;Egglfing
2448;Egglfing
2449;Egglfing
2450;Egglfing
2451;Egglfing
2452;Egglfing
2453;Egglfing
2454;Egglfing
2455;Egglfing
2456;Egglfing
2457;Egglfing
2458;Egglfing
2459;Egglfing
2460;Egglfing
2461;Egglfing
2462;Egglfing
2463;Egglfing
2464;Egglfing
2465;Egglfing
2466;Egglfing
2467;Egglfing
2468;Egglfing
2469;Egglfing
2470;Egglfing
2471;Egglfing
2472;Egglfing
2473;Egglfing
2474;Egglfing
2475;Egglfing
2476;Egglfing
2477;Egglfing
2478;Egglfing
2479;Egglfing
2480;Egglfing
2481;Egglfing
2482;Egglfing
2483;Egglfing
2486;Egglfing
2487;Egglfing
2488;Egglfing
2489;Egglfing
2490;Egglfing
2491;Egglfing
2492;Egglfing
2493;Egglfing
2494;Egglfing
2495;Egglfing
2496;Egglfing
2497;Egglfing
2498;Egglfing
2499;Egglfing
2500;Egglfing
2501;Egglfing
2502;Egglfing
2503;Egglfing
2504;Egglfing
2505;Egglfing
2506;Egglfing
2507;Egglfing
2508;Egglfing
2509;Teisendorf
2510;Teisendorf
2511;Teisendorf
2512;Sättelstädt
2513;Sättelstädt
2514;Balsthal (District Thal)
2515;Balsthal (District Thal)
2516;Balsthal (District Thal)
2517;Balsthal (District Thal)
2518;Balsthal (District Thal)
2524;Basel (Münsterhügel)
2525;Avenches (District de la Broye-Vully)
2526;Avenches (District de la Broye-Vully)
2527;Avenches (District de la Broye-Vully)
2528;Windisch (District Brugg)
2529;Titelberg
2530;Altenburg-Rheinau
2531;Altenburg-Rheinau
2532;Altenburg-Rheinau
2533;Altenburg-Rheinau
2534;Altenburg-Rheinau
2535;Altenburg-Rheinau
2536;Altenburg-Rheinau
2537;Altenburg-Rheinau
2538;Altenburg-Rheinau
2539;Altenburg-Rheinau
2540;Altenburg-Rheinau
2541;Teisendorf
2542;Teisendorf
2543;Teisendorf
2544;Teisendorf
2545;Teisendorf
2546;Teisendorf
2547;Teisendorf
2548;Teisendorf
2549;Teisendorf
2550;Teisendorf
2551;Teisendorf
2552;Teisendorf
2553;Teisendorf
2554;Teisendorf
2555;Teisendorf
2556;Teisendorf
2557;Teisendorf
2558;Teisendorf
2559;Teisendorf
2560;Teisendorf
2561;Teisendorf
2562;Teisendorf
2563;Teisendorf
2564;Teisendorf
2565;Teisendorf
2566;Teisendorf
2567;Teisendorf
2568;Teisendorf
2569;Teisendorf
2570;Teisendorf
2571;Teisendorf
2572;Teisendorf
2573;Teisendorf
2574;Teisendorf
2575;Teisendorf
2576;Teisendorf
2577;Teisendorf
2578;Teisendorf
2579;Teisendorf
2580;Teisendorf
2581;Teisendorf
2582;Teisendorf
2583;Teisendorf
2584;Teisendorf
2585;Teisendorf
2586;Teisendorf
2587;Teisendorf
2588;Teisendorf
2589;Teisendorf
2590;Teisendorf
2591;Teisendorf
2592;Teisendorf
2593;Teisendorf
2594;Teisendorf
2595;Teisendorf
2596;Teisendorf
2597;Teisendorf
2598;Teisendorf
2599;Teisendorf
2600;Teisendorf
2601;Teisendorf
2602;Teisendorf
2603;Teisendorf
2604;Teisendorf
2605;Teisendorf
2606;Teisendorf
2607;Teisendorf
2609;Teisendorf
2610;Teisendorf
2611;Teisendorf
2612;Teisendorf
2613;Teisendorf
2614;Teisendorf
2615;Teisendorf
2616;Teisendorf
2617;Teisendorf
2618;Teisendorf
2619;Teisendorf
2620;Teisendorf
2622;Teisendorf
2623;Teisendorf
2624;Teisendorf
2625;Teisendorf
2626;Teisendorf
2627;Teisendorf
2628;Teisendorf
2629;Teisendorf
2630;Teisendorf
2631;Teisendorf
2632;Teisendorf
2633;Teisendorf
2634;Teisendorf
2635;Teisendorf
2636;Teisendorf
2637;Teisendorf
2638;Teisendorf
2639;Teisendorf
2640;Teisendorf
2641;Teisendorf
2642;Teisendorf
2643;Teisendorf
2644;Teisendorf
2645;Teisendorf
2646;Teisendorf
2647;Teisendorf
2648;Teisendorf
2649;Teisendorf
2650;Teisendorf
2651;Teisendorf
2652;Teisendorf
2653;Teisendorf
2654;Teisendorf
2655;Teisendorf
2656;Teisendorf
2657;Teisendorf
2658;Balsthal (District Thal)
2659;Teisendorf
2660;Teisendorf
2661;Teisendorf
2662;Teisendorf
2664;Teisendorf
2665;Teisendorf
2666;Teisendorf
2667;Teisendorf
2668;Teisendorf
2669;Teisendorf
2670;Teisendorf
2671;Teisendorf
2672;Teisendorf
2673;Balsthal (District Thal)
2674;Teisendorf
2675;Teisendorf
2676;Teisendorf
2677;Teisendorf
2678;Teisendorf
2679;Teisendorf
2680;Teisendorf
2681;Teisendorf
2682;Teisendorf
2683;Teisendorf
2684;Teisendorf
2685;Teisendorf
2686;Teisendorf
2687;Teisendorf
2688;Teisendorf
2689;Teisendorf
2690;Teisendorf
2691;Teisendorf
2692;Teisendorf
2693;Teisendorf
