class;type;desc_obv;desc_rev
Allen;Allen BS A;;
Allen;Allen BS G;Bushel.;Horse to left, with various symbols.
Allen;Prague type;;
Allen;Uncertain type;;
Kellner;Kellner BS A;Head to left, lightly stylized, instead of an ear three thick dots, strands of hair to the chin.;Horse to left, above a torc facing downwards.
Kellner;Kellner BS B;Head to left, fairly stylized.;Horse to left, above a pellet.
Kellner;Kellner BS C;Head very stylised, tufts of hair around central point, nose-chin part as pincers with inner point.;Horse to left. Above the horse a pellet or torc or a torc and with one or two pellets, sometimes pellets within the torc. Below the horse sometimes torcs or pellets within torcs.
Kellner;Kellner BS E;Fully stylised head as a counterclockwise whorl around four central points.;Horse to left, above a circular ornament with dots. Sometimes above one or two torcs, sometimes below a torc or a cross instead.
Kellner;Kellner BS Prototype;Relatively naturalistic head to left,with a diadem represented by a row of points and hair of thick strokes.;Horse to left, almost always without further features.
Nick;Nick BS C 1;;Horse to left, above a pellet.
Nick;Nick BS C 11;;
Nick;Nick BS C 4;;Horse to left, above three dots.
Nick;Nick BS C 8;;Horse to left, above a torc facing upwards.
Nick;Nick BS C 9;;Horse to left, above a torc facing upwards, above and below the torc a dot.
Nick;Nick BS C/F;;
Nick;Nick BS D 1;Six- or eight-leaved little tree with a row of pellets consisting of two or three pellets and trunk, crowned by a torc with or without pellet.;Horse with pearl mane and dash head with point muzzle, above pellet, below cross with pellets at the ends.
Nick;Nick BS D 2;Six- or eight-leaved little tree with a row of pellets consisting of three or four pellets and trunk, crowned by a torc. Sometimes as variant with small sickle placed inwards to the right of the torc.;Horse with pearl mane and dash head with point muzzle, below epsilon, above the back of the horse a lambda. Sometimes as variant with pellet below the epsilon.
Nick;Nick BS D 3;Six-,eight- or ten-leaved little tree with a row of pellets consisting of two to four pellets and trunk, crowned by a torc.;Horse with pearl mane and ring muzzle or angular head with point muzzle, below a outward facing torc, above a loop.
Nick;Nick BS D 4;Seven-leaved little tree with a row of two pellets and trunk, crowned by a torc.;Horse with pearl mane, long ears and angular or dashed head, with point muzzle, above V with pellet.
Nick;Nick BS D 5;Six- or eight-leaved little tree with a row of three or four pellets and trunk, crowned by a torc.;Horse with pearl mane and angular head with point muzzle, loop above, four-spoked wheel below
Nick;Nick BS D 6;Six- or eight-leaved little tree with a row of three pellets, crowned by a torc that is flanked by smaller torcs on the left and the right side.;Horse with pearl mane, long ears and angular head with point muzzle, shield with star above, below remains of a letter.
Nick;Nick BS D 7;Six-leaved little tree with a row of two or three pellets and trunk, crowned by a torc with pellet.;Horse with pearl mane, head and muzzle shape unrecognisable on the surviving pieces, torques above each with a pellet, often with a border of dots.
